typeID,name,unit,description,methodID,siteID
e,east,mm,displacement from initial position,bernese5/gamit,2406/AHTI/AKTO/ANAU/ARTA/AUCK/AUKT/AVLN/BHST/BIRF/BLUF/BM8A/BNET/BTHL/CAST/CHAT/CHTI/CKID/CLIM/CLRR/CLS3/CLS4/CLS5/CLS6/CLSK/CMBL/CNCL/CNST/CORM/DNVK/DUND/DUNT/DURV/FALE/FOX1/FRTN/GDS1/GISB/GLDB/GLOK/GNBK/GRAC/GRNG/GUNR/HAAS/HAMT/HANA/HANM/HAST/HIKB/HOKI/HOLD/HORN/KAHU/KAIK/KAPT/KARA/KAWK/KERE/KOKO/KORO/KTIA/KUTA/LAUD/LDRZ/LEVN/LEXA/LEYL/LKTA/LOK1/LOOK/LRR1/LYTT/MAHA/MAHI/MAHO/MAKO/MANG/MAST/MATW/MAVL/MCNL/METH/MING/MKNO/MNHR/MQZG/MRBL/MTBL/MTJO/MTPR/MTQN/MUL1/NETT/NIUM/NLS1/NLS2/NLS3/NLS4/NLSN/NMAI/NPLY/NRRD/NRSW/OHIN/OKOH/OPTK/OROA/OTAK/OUSD/PAEK/PAKI/PALI/PARI/PARW/PAWA/PGKH/PGNE/PILK/PKNO/PNUI/PORA/PRTU/PTOI/PUKE/PYGR/QUAR/RAHI/RAKW/RAUL/RAUM/RAWI/RCHD/RDLV/RGAR/RGAW/RGCR/RGHD/RGHL/RGHR/RGKA/RGKW/RGLI/RGMK/RGMT/RGON/RGOP/RGRE/RGRR/RGTA/RGUT/RGWC/RGWI/RGWV/RIPA/RLTN/SCTB/SCTY/SEDD/SNST/SUTT/TAKL/TAKP/TAUP/TAUW/TEMA/TEN2/TENN/TGHO/TGHR/TGOH/TGRA/TGRI/TGTK/TGWH/THAP/TINT/TKAR/TKHL/TORY/TRAV/TRNG/TRWH/TURI/UTK1/UTK2/UTK3/UTK4/UTKU/V27B/V47B/VAVS/VEXA/VGDR/VGET/VGFW/VGKR/VGMO/VGMT/VGNG/VGNT/VGOB/VGOT/VGPK/VGT8/VGTM/VGTR/VGTS/VGWH/VGWN/VGWT/WAHU/WAIM/WAKA/WANG/WARK/WEST/WGTN/WGTT/WHKT/WHNG/WHVR/WITH/WMAT/WPAW/WPUK/WRA1/WRAU/WRPA/YALD
n,north,mm,displacement from initial position,bernese5/gamit,2406/AHTI/AKTO/ANAU/ARTA/AUCK/AUKT/AVLN/BHST/BIRF/BLUF/BM8A/BNET/BTHL/CAST/CHAT/CHTI/CKID/CLIM/CLRR/CLS3/CLS4/CLS5/CLS6/CLSK/CMBL/CNCL/CNST/CORM/DNVK/DUND/DUNT/DURV/FALE/FOX1/FRTN/GDS1/GISB/GLDB/GLOK/GNBK/GRAC/GRNG/GUNR/HAAS/HAMT/HANA/HANM/HAST/HIKB/HOKI/HOLD/HORN/KAHU/KAIK/KAPT/KARA/KAWK/KERE/KOKO/KORO/KTIA/KUTA/LAUD/LDRZ/LEVN/LEXA/LEYL/LKTA/LOK1/LOOK/LRR1/LYTT/MAHA/MAHI/MAHO/MAKO/MANG/MAST/MATW/MAVL/MCNL/METH/MING/MKNO/MNHR/MQZG/MRBL/MTBL/MTJO/MTPR/MTQN/MUL1/NETT/NIUM/NLS1/NLS2/NLS3/NLS4/NLSN/NMAI/NPLY/NRRD/NRSW/OHIN/OKOH/OPTK/OROA/OTAK/OUSD/PAEK/PAKI/PALI/PARI/PARW/PAWA/PGKH/PGNE/PILK/PKNO/PNUI/PORA/PRTU/PTOI/PUKE/PYGR/QUAR/RAHI/RAKW/RAUL/RAUM/RAWI/RCHD/RDLV/RGAR/RGAW/RGCR/RGHD/RGHL/RGHR/RGKA/RGKW/RGLI/RGMK/RGMT/RGON/RGOP/RGRE/RGRR/RGTA/RGUT/RGWC/RGWI/RGWV/RIPA/RLTN/SCTB/SCTY/SEDD/SNST/SUTT/TAKL/TAKP/TAUP/TAUW/TEMA/TEN2/TENN/TGHO/TGHR/TGOH/TGRA/TGRI/TGTK/TGWH/THAP/TINT/TKAR/TKHL/TORY/TRAV/TRNG/TRWH/TURI/UTK1/UTK2/UTK3/UTK4/UTKU/V27B/V47B/VAVS/VEXA/VGDR/VGET/VGFW/VGKR/VGMO/VGMT/VGNG/VGNT/VGOB/VGOT/VGPK/VGT8/VGTM/VGTR/VGTS/VGWH/VGWN/VGWT/WAHU/WAIM/WAKA/WANG/WARK/WEST/WGTN/WGTT/WHKT/WHNG/WHVR/WITH/WMAT/WPAW/WPUK/WRA1/WRAU/WRPA/YALD
u,up,mm,displacement from initial position,bernese5/gamit,2406/AHTI/AKTO/ANAU/ARTA/AUCK/AUKT/AVLN/BHST/BIRF/BLUF/BM8A/BNET/BTHL/CAST/CHAT/CHTI/CKID/CLIM/CLRR/CLS3/CLS4/CLS5/CLS6/CLSK/CMBL/CNCL/CNST/CORM/DNVK/DUND/DUNT/DURV/FALE/FOX1/FRTN/GDS1/GISB/GLDB/GLOK/GNBK/GRAC/GRNG/GUNR/HAAS/HAMT/HANA/HANM/HAST/HIKB/HOKI/HOLD/HORN/KAHU/KAIK/KAPT/KARA/KAWK/KERE/KOKO/KORO/KTIA/KUTA/LAUD/LDRZ/LEVN/LEXA/LEYL/LKTA/LOK1/LOOK/LRR1/LYTT/MAHA/MAHI/MAHO/MAKO/MANG/MAST/MATW/MAVL/MCNL/METH/MING/MKNO/MNHR/MQZG/MRBL/MTBL/MTJO/MTPR/MTQN/MUL1/NETT/NIUM/NLS1/NLS2/NLS3/NLS4/NLSN/NMAI/NPLY/NRRD/NRSW/OHIN/OKOH/OPTK/OROA/OTAK/OUSD/PAEK/PAKI/PALI/PARI/PARW/PAWA/PGKH/PGNE/PILK/PKNO/PNUI/PORA/PRTU/PTOI/PUKE/PYGR/QUAR/RAHI/RAKW/RAUL/RAUM/RAWI/RCHD/RDLV/RGAR/RGAW/RGCR/RGHD/RGHL/RGHR/RGKA/RGKW/RGLI/RGMK/RGMT/RGON/RGOP/RGRE/RGRR/RGTA/RGUT/RGWC/RGWI/RGWV/RIPA/RLTN/SCTB/SCTY/SEDD/SNST/SUTT/TAKL/TAKP/TAUP/TAUW/TEMA/TEN2/TENN/TGHO/TGHR/TGOH/TGRA/TGRI/TGTK/TGWH/THAP/TINT/TKAR/TKHL/TORY/TRAV/TRNG/TRWH/TURI/UTK1/UTK2/UTK3/UTK4/UTKU/V27B/V47B/VAVS/VEXA/VGDR/VGET/VGFW/VGKR/VGMO/VGMT/VGNG/VGNT/VGOB/VGOT/VGPK/VGT8/VGTM/VGTR/VGTS/VGWH/VGWN/VGWT/WAHU/WAIM/WAKA/WANG/WARK/WEST/WGTN/WGTT/WHKT/WHNG/WHVR/WITH/WMAT/WPAW/WPUK/WRA1/WRAU/WRPA/YALD
e_rf,east regionally-filtered,mm,"displacement from initial position, regionally-filtered",,
n_rf,north regionally-filtered,mm,"displacement from initial position, regionally-filtered",,
u_rf,up regionally-filtered,mm,"displacement from initial position, regionally-filtered",,
mp1,average-mp1,m,RMS on L1 code multipath,teqc,2406/AHTI/AKTO/ANAU/ARTA/AUCK/AUKT/AVLN/BHST/BIRF/BLUF/BM8A/BNET/BTHL/CAST/CHTI/CKID/CLIM/CLRR/CLS3/CLS5/CLS6/CLSK/CMBL/CNCL/CNST/CORM/DNVK/DUND/DUNT/DURV/FALE/FRTN/GDS1/GEON/GISB/GLDB/GLOK/GNBK/GRNG/GUNR/HAAS/HAMT/HANA/HANM/HAST/HIKB/HOKI/HOLD/HORN/KAHU/KAIK/KAPT/KARA/KAWK/KERE/KOKO/KORO/KTIA/KUTA/LAUD/LDRZ/LEVN/LEXA/LEYL/LKTA/LOK1/LOOK/LRR1/LYTT/MAHA/MAHI/MAHO/MAKO/MANG/MAST/MATW/MAVL/MCNL/METH/MING/MKNO/MNHR/MQZG/MRBL/MTBL/MTJO/MTPR/MTQN/MUL1/NETT/NIUC/NIUM/NLSN/NMAI/NPLY/NRRD/NRSW/OHIN/OKOH/OPTK/OROA/OTAK/OUSD/PAEK/PAKI/PALI/PARI/PARW/PAWA/PGKH/PGNE/PILK/PKNO/PNUI/PORA/PRTU/PTOI/PUKE/PYGR/QUAR/RAHI/RAKW/RAUL/RAUM/RAWI/RDLV/RGAR/RGAW/RGHD/RGHL/RGHR/RGKA/RGKW/RGLI/RGMK/RGMT/RGON/RGOP/RGRE/RGRR/RGTA/RGUT/RGWC/RGWI/RGWV/RIPA/SCTB/SEDD/SNST/SUTT/TAKP/TAUP/TAUW/TEMA/TEN2/TENN/TGHO/TGHR/TGOH/TGRA/TGRI/TGTK/TGWH/THAP/TINT/TKAR/TKHL/TORY/TRAV/TRNG/TRWH/TURI/UTK1/UTK2/UTK3/UTK4/UTKU/V27B/V47B/VAVS/VEXA/VGET/VGFW/VGKR/VGMO/VGMT/VGNG/VGNT/VGOB/VGOT/VGPK/VGT8/VGTM/VGTR/VGTS/VGWH/VGWN/VGWT/WAHU/WAIM/WAKA/WANG/WARK/WEST/WGTN/WGTT/WHKT/WHNG/WHVR/WITH/WMAT/WPAW/WPUK/WRA1/WRAU/WRPA/YALD
mp2,average-mp2,m,RMS on L2 code multipath,teqc,2406/AHTI/AKTO/ANAU/ARTA/AUCK/AUKT/AVLN/BHST/BIRF/BLUF/BM8A/BNET/BTHL/CAST/CHTI/CKID/CLIM/CLRR/CLS3/CLS5/CLS6/CLSK/CMBL/CNCL/CNST/CORM/DNVK/DUND/DUNT/DURV/FALE/FRTN/GDS1/GEON/GISB/GLDB/GLOK/GNBK/GRNG/GUNR/HAAS/HAMT/HANA/HANM/HAST/HIKB/HOKI/HOLD/HORN/KAHU/KAIK/KAPT/KARA/KAWK/KERE/KOKO/KORO/KTIA/KUTA/LAUD/LDRZ/LEVN/LEXA/LEYL/LKTA/LOK1/LOOK/LRR1/LYTT/MAHA/MAHI/MAHO/MAKO/MANG/MAST/MATW/MAVL/MCNL/METH/MING/MKNO/MNHR/MQZG/MRBL/MTBL/MTJO/MTPR/MTQN/MUL1/NETT/NIUC/NIUM/NLSN/NMAI/NPLY/NRRD/NRSW/OHIN/OKOH/OPTK/OROA/OTAK/OUSD/PAEK/PAKI/PALI/PARI/PARW/PAWA/PGKH/PGNE/PILK/PKNO/PNUI/PORA/PRTU/PTOI/PUKE/PYGR/QUAR/RAHI/RAKW/RAUL/RAUM/RAWI/RDLV/RGAR/RGAW/RGHD/RGHL/RGHR/RGKA/RGKW/RGLI/RGMK/RGMT/RGON/RGOP/RGRE/RGRR/RGTA/RGUT/RGWC/RGWI/RGWV/RIPA/SCTB/SEDD/SNST/SUTT/TAKP/TAUP/TAUW/TEMA/TEN2/TENN/TGHO/TGHR/TGOH/TGRA/TGRI/TGTK/TGWH/THAP/TINT/TKAR/TKHL/TORY/TRAV/TRNG/TRWH/TURI/UTK1/UTK2/UTK3/UTK4/UTKU/V27B/V47B/VAVS/VEXA/VGET/VGFW/VGKR/VGMO/VGMT/VGNG/VGNT/VGOB/VGOT/VGPK/VGT8/VGTM/VGTR/VGTS/VGWH/VGWN/VGWT/WAHU/WAIM/WAKA/WANG/WARK/WEST/WGTN/WGTT/WHKT/WHNG/WHVR/WITH/WMAT/WPAW/WPUK/WRA1/WRAU/WRPA/YALD
t,temperature,C,temperature,therm/thermcoup/therminfra/flir/weathersta/logic/logthermcoup/logprt/sattherm,NA001/NA002/OK001/OT001/OT001-1/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT020/OT021/RL001/RL002/RL003/RL003-1/RL004/RL005/RL006-1/RL006-2/RL006-3/RL006-4/RL006-5/RL007/RP001/RP002/RP003/RR001/RR002/RR003/RR004/RR005/RU001/RU001A/RU001B/RU002/RU003/RU004/RU010/RU020/SSTEST/TO001/TO001A/TO001B/TO002/TO003/TO004/TO005/TO006/TO006A/TO006B/TO015/TO030/TO031/TO032/TO033/TO034/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/WI001/WI002/WI003/WI004/WI005/WI006/WI007/WI008/WI009/WI010/WI011/WI012/WI013/WI014/WI015/WI016/WI017/WI018/WI019/WI020/WI021/WI022/WI023/WI024/WI025/WI026/WI027/WI028/WI029/WI030/WI031/WI032/WI033/WI034/WI035/WI036/WI037/WI038/WI039/WI040/WI041/WI042/WI043/WI044/WI045/WI046/WI047/WI048/WI049/WI050/WI051/WI052/WI053/WI054/WI055/WI056/WI057/WI058/WI059/WI060/WI061/WI062/WI063/WI064/WI065/WI066/WI067/WI068/WI069/WI070/WI071/WI072/WI073/WI074/WI075/WI076/WI077/WI078/WI079/WI080/WI081/WI082/WI083/WI084/WI085/WI086/WI087/WI088/WI089/WI090/WI091/WI092/WI093/WI094/WI095/WI096/WI097/WI098/WI099/WI150/WI151/WI152/WI153/WI154/WI201/WI210/WI211/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-1/WI226-2/WI227/WI228
fr,flow rate,l/s,flow rate of fluid in a channel,encode/vela,OT001-1/RU001
g,gravity,m/s/s,acceleration due to gravity,,
ap,air pressure,hPa,air pressure,,
fp,fluid pressure,hPa,fluid pressure,,
vel,velocity,m/s,velocity of fluid or other object,,
dir,direction,deg,flow direction of a fluid,,
vol,voltage,V,power supply voltage,,
tl,tilt,rad,angle of tilt relative to the horizontal,,
rs,rsam,nm/s,10-minute mean ground velocity in a given frequency band,,
ph,ph,-,degree of acidity or alkalinity of a sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-1/WI226-2/WI227/WI228
Cl,chloride,mg/L,concentration in a sample,lab,RU001/TO015/TO030/TO031/TO032/TO033/TO034
Mg,magnesium,mg/L,concentration in a sample,lab,RU001
CO2-flux-e,Carbon Dioxide,g-m^2/d,Carbon Dioxide,chmb,WI001/WI002/WI003/WI004/WI005/WI006/WI007/WI008/WI009/WI010/WI011/WI012/WI013/WI014/WI015/WI016/WI017/WI018/WI019/WI020/WI021/WI022/WI023/WI024/WI025/WI026/WI027/WI028/WI029/WI030/WI031/WI032/WI033/WI034/WI035/WI036/WI037/WI038/WI039/WI040/WI041/WI042/WI043/WI044/WI045/WI046/WI047/WI048/WI049/WI050/WI051/WI052/WI053/WI054/WI055/WI056/WI057/WI058/WI059/WI060/WI061/WI062/WI063/WI064/WI065/WI066/WI067/WI068/WI069/WI070/WI071/WI072/WI073/WI074/WI075/WI076/WI077/WI078/WI079/WI080/WI081/WI082/WI083/WI084/WI085/WI086/WI087/WI088/WI089/WI090/WI091/WI092/WI093/WI094/WI095/WI096/WI097/WI098/WI099/WI150/WI151/WI152/WI153/WI154
H2S-flux-e,Hydrogen Sulphide,g-m^2/d,Hydrogen Sulphide,chmb,WI001/WI002/WI003/WI004/WI005/WI006/WI007/WI008/WI009/WI010/WI011/WI012/WI013/WI014/WI015/WI016/WI017/WI018/WI019/WI020/WI021/WI022/WI023/WI024/WI025/WI026/WI027/WI028/WI029/WI030/WI031/WI032/WI033/WI034/WI035/WI038/WI039/WI040/WI041/WI042/WI043/WI044/WI045/WI046/WI047/WI048/WI049/WI050/WI051/WI052/WI053/WI054/WI055/WI057/WI058/WI059/WI060/WI061/WI062/WI063/WI064/WI065/WI066/WI067/WI068/WI069/WI070/WI071/WI072/WI073/WI074/WI075/WI076/WI077/WI078/WI079/WI080/WI081/WI082/WI083/WI084/WI085/WI086/WI087/WI088/WI089/WI090/WI091/WI092/WI093/WI094/WI095/WI096/WI097/WI098/WI099/WI150/WI151/WI152/WI153/WI154
nve,volcanic earthquakes,n/d,number of volcanic earthquakes recorded per day,sdet-u/sdet-r,OTVZ
nvte,volcanic-tectonic earthquakes,n/d,number of volcanic-tectonic earthquakes recorded per day,sdet-u/sdet-r,
SO2-flux-a,Sulphur Dioxide flux in air,kg/s,flux of sulphur dioxide measured in the air,cont/cosp/flsp/sflsp/mdoas-ah/mdoas-ch,NA000/RU000/RUD01/RUD02/TO000/TO301/TO302/TO311/TO312/WI000/WI301/WI302
CO2-flux-a,Carbon Dioxide flux in air,kg/s,flux of carbon dioxide measured in the air,cont,NA000/RU000/TO000/WI000
H2S-flux-a,Hydrogen Sulphide flux in air,kg/s,flux of hydrogen sulphide measured in the air,cont,NA000/RU000/TO000/WI000
hum,humidity,%,amount of water vapour in atmosphere,weathersta,RU010
mwindir,mean wind direction,deg,mean wind direction over the sampling period,weathersta,RU010
mwindsp,mean wind speed,m/s,mean wind speed over the sampling period,weathersta,RU010
rain,rainfall,mm,rainfall over the sampling period,weathersta,RU010
solrad,solar radiation,W/m2,mean solar radiation over the sampling period,weathersta,RU010
HCO3-w,bicarbonate,mg/L,HCO3 concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045
Li-w,lithium,mg/L,Li concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
