typeID,name,unit,description,methodID,siteID
Na-w,sodium,mg/L,Na concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
K-w,potassium,mg/L,K concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
Ca-w,calcium,mg/L,Ca concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
SiO2-w,silicon dioxide,mg/L,SiO2 concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
H2S-w,hydrogen sulphide,mg/L,H2S concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT021/OT022/OT023/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
Fe-w,iron,mg/L,Fe concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
Al-w,aluminium,mg/L,Al concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
As-w,arsenic,mg/L,As concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
Rb-w,rubidium,mg/L,Rb concentration in a water sample,lab,RL001/RL002/RL003/RL004/RL005/RU001/RU004/TO050/TO051/TO052/TO053/TO054/TO055/TO060/TO061/TO062/TO063
Cs-w,caesium,mg/L,Cs concentration in a water sample,lab,RL001/RL002/RL003/RL004/RL005/RU001/RU004/TO050/TO051/TO052/TO053/TO054/TO055/TO060/TO061/TO062/TO063
NH3-w,ammonia,mg/L,NH3 concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT013/OT014/OT015/OT016/OT017/OT018/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-1/WI226-2/WI227/WI228
B-w,boron,mg/L,B concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
F-w,flourine,mg/L,F concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-1/WI226-2/WI227/WI228
Br-w,bromide,mg/L,Br concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-1/WI226-2/WI227/WI228
NO3-N-w,nitrate as nitrogen,mg/L,NO3-N concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT013/OT014/OT015/OT016/OT017/OT018/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI226/WI226-2/WI227
PO4-P-w,phosphate as as phosphorus,mg/L,PO4-P concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT013/OT014/OT015/OT016/OT017/OT018/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI226/WI226-2/WI227
z,height,m,height,lev/lak/rule/tape/vangdist/photo/img/rad/logbubble/logsubpres,OT001/RL001/RL001-1/RL002/RU001/RU001A/TP001/TP002/TP003/TP004/TP005/TP006/TP007/TP008/TP009/TP010/TP011/TP012/TP013/TP015/TP016/TP017/TP018/TP019/TP020/TP021/TP022/WI100/WI101/WI102/WI103-1/WI103-2/WI103-3/WI104-1/WI104-2/WI105/WI106/WI107-1/WI107-2/WI108-1/WI108-2/WI109-1/WI109-2/WI110/WI111/WI112-1/WI112-2/WI112-3/WI113/WI114-1/WI114-2/WI115-1/WI115-2/WI116-1/WI116-2/WI116-3/WI117-1/WI117-2/WI118/WI119-1/WI119-2/WI119-3/WI120-1/WI120-2/WI121-1/WI121-2/WI121-3/WI122-1/WI122-2/WI200
SO4-w,sulphate,mg/L,SO4 concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-1/WI226-2/WI227/WI228
d18O-w,ratio 18O:16O,per mil,"d18O concentration  in water, relative to standard",lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
d2H-w,ratio 2H:1H,per mil,"d2H concentration in water, relative to standard",lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
HCO3-g,bicarbonate,mg/L,HCO3 concentration in a gas sample,lab,
Li-g,lithium,mg/L,Li concentration in a gas sample,lab,
Na-g,sodium,mg/L,Na concentration in a gas sample,lab,
K-g,potassium,mg/L,K concentration in a gas sample,lab,
Ca-g,calcium,mg/L,Ca concentration in a gas sample,lab,
SiO2-g,silicon dioxide,mg/L,SiO2 concentration in a gas sample,lab,
H2S-g,hydrogen sulphide,mg/L,H2S concentration in a gas sample,lab,
Fe-g,iron,mg/L,Fe concentration in a gas sample,lab,
Al-g,aluminium,mg/L,Al concentration in a gas sample,lab,
As-g,arsenic,mg/L,As concentration in a gas sample,lab,
Rb-g,rubidium,mg/L,Rb concentration in a gas sample,lab,
Cs-g,caesium,mg/L,Cs concentration in a gas sample,lab,
NH3-g,ammonia,mg/L,NH3 concentration in a gas sample,lab,
B-g,boron,mg/L,B concentration in a gas sample,lab,
F-g,flourine,mg/L,F concentration in a gas sample,lab,
Br-g,bromide,mg/L,Br concentration in a gas sample,lab,
NO3-N-g,nitrate as nitrogen,mg/L,NO3-N concentration in a gas sample,lab,
PO4-P-g,phosphate as as phosphorus,mg/L,PO4-P concentration in a gas sample,lab,
SO4-g,sulphate,mg/L,SO4 concentration in a gas sample,lab,
d18O-g,ratio 18O:16O,per mil,"d18O concentration in gas, relative to standard",lab,
d2H-g,ratio 2H:1H,per mil,"d2H concentration in gas, relative to standard",lab,
Mg-w,magnesium,mg/L,Mg concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-2/WI227/WI228
Cl-w,chloride,mg/L,Cl concentration in a water sample,lab,OK001/OT001/OT002/OT010/OT011/OT012/OT013/OT014/OT015/OT016/OT017/OT018/OT019/OT020/OT021/OT022/OT023/RL001/RL002/RL003/RL004/RL005/RP001/RP002/RP003/RR001/RR002/RR003/RR004/RR005/RR1021/RR1076/RR12183/RR887/RR913/RU001/RU003/RU004/RU020/TO050/TO051/TO052/TO053/TO054/TO055/TO056/TO057/TO060/TO061/TO062/TO063/TP041/TP042/TP043/TP044/TP045/WI201/WI220/WI220-1/WI220-2/WI220-3/WI221/WI221-1/WI221-2/WI221-3/WI222/WI223/WI224/WI225-1/WI225-2/WI226/WI226-1/WI226-2/WI227/WI228
Mg-g,magnesium,mg/L,Mg concentration in a gas sample,lab,
Cl-g,chloride,mg/L,Cl concentration in a gas sample,lab,
